iso,country_eng,region_eng,world_bank_classification,life_expectancy_updated,life_expectancy_exception_year,mortality_rate_under_5
AFG,Afghanistan,Asia,1,63.673,,70.4
ALB,Albania,Europe,3,78.345,,13.5
DZA,Algeria,Africa,3,76.078,,25.2
ASM,American Samoa,Oceania,3,0,,0
AND,Andorra,Europe,4,0,,2.7
AGO,Angola,Africa,2,61.547,,82.5
ATG,Antigua and Barbuda,Americas,4,76.364,,8.5
ARG,Argentina,Americas,3,76.577,,11.1
ARM,Armenia,Asia,2,74.618,,13.4
ABW,Aruba,Americas,4,75.867,,0
AUS,Australia,Oceania,5,82.5,,3.7
AUT,Austria,Europe,5,80.8902439,,3.5
AZE,Azerbaijan,Asia,3,72.026,,30.9
BHS,Bahamas,Americas,4,75.675,,10.6
BHR,Bahrain,Asia,4,76.9,,7.6
BGD,Bangladesh,Asia,2,72.489,,34.2
BRB,Barbados,Americas,4,75.906,,12.3
BLR,Belarus,Europe,3,73.8268293,,3.9
BEL,Belgium,Europe,5,80.9926829,,3.9
BLZ,Belize,Americas,3,70.384,,14.9
BEN,Benin,Africa,1,60.907,,97.6
BMU,Bermuda,Americas,4,81.2270732,,0
BTN,Bhutan,Asia,2,70.197,,32.4
BOL,Bolivia,Americas,2,69.125,,36.9
BIH,Bosnia and Herzegovina,Europe,3,76.911,,6
BWA,Botswana,Africa,3,66.797,,40.6
BRA,Brazil,Americas,3,75.509,,15.1
VGB,British Virgin Islands,Americas,4,0,,0
BRN,Brunei Darussalam,Asia,4,77.203,,9.9
BGR,Bulgaria,Europe,3,74.6146341,,7.6
BFA,Burkina Faso,Africa,1,60.361,,84.6
BDI,Burundi,Africa,1,57.481,,71.7
CPV,Cabo Verde,Africa,2,72.798,,21.4
KHM,Cambodia,Asia,2,68.981,,30.6
CMR,Cameroon,Africa,2,58.073,,79.7
CAN,Canada,Americas,5,82.3005122,,4.9
CYM,Cayman Islands,Americas,4,82.1902439,2010,0
CAF,Central African Republic,Africa,1,52.171,,123.6
TCD,Chad,Africa,1,52.903,,127.3
CHI,Channel Islands,Europe,4,81.107,,0
CHL,Chile,Americas,5,79.522,,8.3
CHN,China,Asia,3,76.252,,9.9
COL,Colombia,Americas,3,74.381,,15.3
COM,Comoros,Africa,1,63.701,,73.3
COD,"Congo, Dem. Rep.",Africa,1,59.621,,94.3
COG,"Congo, Rep.",Africa,2,64.625,,54.1
CRI,Costa Rica,Americas,3,79.831,,8.8
CIV,Cote d'Ivoire,Africa,2,53.582,,91.8
HRV,Croatia,Europe,3,78.0219512,,4.7
CUB,Cuba,Americas,3,79.742,,5.5
CUW,Curacao,Americas,0,77.8731707,,0
CYP,Cyprus,Asia,4,80.508,,2.6
CZE,Czech Republic,Europe,5,78.3317073,,3.2
DNK,Denmark,Europe,5,80.704878,,4.4
DJI,Djibouti,Africa,2,62.465,,64.2
DMA,Dominica,Americas,3,0,,34
DOM,Dominican Republic,Americas,3,73.861,,30.7
ECU,Ecuador,Americas,3,76.327,,20.9
EGY,Egypt,Africa,2,71.484,,22.8
SLV,El Salvador,Americas,2,73.512,,15
GNQ,Equatorial Guinea,Africa,3,57.681,,90.9
ERI,Eritrea,Africa,1,65.092,,44.5
EST,Estonia,Europe,5,77.7365854,,2.9
ETH,Ethiopia,Africa,1,65.475,,58.4
FRO,Faroe Islands,Europe,0,82.2414634,,0
FJI,Fiji,Oceania,3,70.269,,22
FIN,Finland,Europe,5,81.7804878,,2.3
FRA,France,Europe,5,82.2731707,,3.9
PYF,French Polynesia,Oceania,4,76.813,,0
GAB,Gabon,Africa,3,66.105,,47.4
GMB,Gambia,Africa,1,61.193,,65.3
GEO,Georgia,Asia,2,73.261,,10.7
DEU,Germany,Europe,5,80.6414634,,3.8
GHA,Ghana,Africa,2,62.742,,58.8
GIB,Gibraltar,Europe,4,0,,0
GRC,Greece,Europe,5,81.0365854,,3.8
GRL,Greenland,Americas,4,71.8304878,2013,0
GRD,Grenada,Americas,3,73.659,,16
GUM,Guam,Oceania,4,79.575,,0
GTM,Guatemala,Americas,2,73.409,,28.5
GIN,Guinea,Africa,1,60.015,,89
GNB,Guinea-Bissau,Africa,1,57.403,,88.1
GUY,Guyana,Americas,3,66.65,,32.4
HTI,Haiti,Americas,1,63.33,,67
HND,Honduras,Americas,2,73.575,,18.7
HKG,Hong Kong,Asia,4,84.2268293,,0
HUN,Hungary,Europe,5,75.5682927,,5.2
ISL,Iceland,Europe,5,82.4682927,,2.1
IND,India,Asia,2,68.56,,43
IDN,Indonesia,Asia,2,69.191,,26.4
IRN,Iran,Asia,3,75.953,,15.1
IRQ,Iraq,Asia,3,69.862,,31.2
IRL,Ireland,Europe,5,81.6073171,,3.6
IMN,Isle of Man,Europe,4,0,,0
ISR,Israel,Asia,5,82.4073171,,3.6
ITA,Italy,Europe,5,82.5439024,,3.3
JAM,Jamaica,Americas,3,75.97,,15.3
JPN,Japan,Asia,5,83.984878,,2.7
JOR,Jordan,Asia,2,74.329,,17.6
KAZ,Kazakhstan,Asia,3,72.3,,11.4
KEN,Kenya,Africa,2,67.032,,49.2
KIR,Kiribati,Oceania,2,66.317,,54.3
XKX,Kosovo,Europe,2,71.6463415,,0
KWT,Kuwait,Asia,4,74.694,,8.4
KGZ,Kyrgyzstan,Asia,2,70.9512195,,21.1
LAO,Laos,Asia,2,66.683,,63.9
LVA,Latvia,Europe,5,74.5292683,,4.6
LBN,Lebanon,Asia,3,79.584,,8.1
LSO,Lesotho,Africa,2,54.174,,93.5
LBR,Liberia,Africa,1,62.505,,67.4
LBY,Libya,Africa,3,71.934,,12.9
LIE,Liechtenstein,Europe,4,82.6560976,,0
