iso,location_name,year,val,parent_location,sdi_value,is_country
CHN,China,1990,42.6,CHN,0.5121,1
CHN,China,2016,77.9,CHN,0.726635,1
PRK,North Korea,1990,49.6,PRK,0.5047,1
PRK,North Korea,2016,53.4,PRK,0.493605,1
TWN,Taiwan,1990,60.6,TWN,0.7337,1
TWN,Taiwan,2016,85.4,TWN,0.875076,1
KHM,Cambodia,1990,20.3,KHM,0.3009,1
KHM,Cambodia,2016,39.4,KHM,0.502945,1
IDN,Indonesia,1990,28.9,IDN,0.5013,1
IDN,Indonesia,2016,44.5,IDN,0.67623,1
LAO,Laos,1990,18,LAO,0.3032,1
LAO,Laos,2016,36.6,LAO,0.511819,1
MYS,Malaysia,1990,44.2,MYS,0.5636,1
MYS,Malaysia,2016,68.1,MYS,0.772662,1
MDV,Maldives,1990,37.6,MDV,0.4331,1
MDV,Maldives,2016,70.4,MDV,0.687126,1
MMR,Myanmar,1990,19.9,MMR,0.3491,1
MMR,Myanmar,2016,41.6,MMR,0.589831,1
PHL,Philippines,1990,39,PHL,0.5198,1
PHL,Philippines,2016,51.2,PHL,0.641983,1
LKA,Sri Lanka,1990,47.4,LKA,0.5124,1
LKA,Sri Lanka,2016,70.6,LKA,0.702951,1
THA,Thailand,1990,44.4,THA,0.5445,1
THA,Thailand,2016,69.5,THA,0.728739,1
TLS,Timor-Leste,1990,22.2,TLS,0.3232,1
TLS,Timor-Leste,2016,43.4,TLS,0.532415,1
VNM,Vietnam,1990,36.6,VNM,0.4393,1
VNM,Vietnam,2016,60.3,VNM,0.638986,1
FJI,Fiji,1990,41,FJI,0.5996,1
FJI,Fiji,2016,47.9,FJI,0.736468,1
KIR,Kiribati,1990,20.3,KIR,0.3074,1
KIR,Kiribati,2016,26.5,KIR,0.446239,1
MHL,Marshall Islands,1990,33.1,MHL,0.4655,1
MHL,Marshall Islands,2016,43,MHL,0.575191,1
FSM,Federated States of Micronesia,1990,27.9,FSM,0.4342,1
